"filename", "language", "JSON", "HTML", "JavaScript", "PostCSS", "JavaScript JSX", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\ranwa\Desktop\Uni\FINAL\Ryan Anwar 228939 GP\stockvisor-frontend\src\pages\Community.jsx", "JavaScript JSX", 0, 0, 0, 0, 206, 0, 0, 3, 27, 236
"c:\Users\ranwa\Desktop\Uni\FINAL\Ryan Anwar 228939 GP\stockvisor-frontend\src\pages\DiscussionThread.jsx", "JavaScript JSX", 0, 0, 0, 0, 590, 0, 0, 0, 59, 649
"c:\Users\ranwa\Desktop\Uni\FINAL\Ryan Anwar 228939 GP\stockvisor-frontend\src\pages\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 185, 0, 0, 3, 28, 216
"c:\Users\ranwa\Desktop\Uni\FINAL\Ryan Anwar 228939 GP\stockvisor-frontend\src\pages\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 148, 0, 0, 7, 16, 171
"c:\Users\ranwa\Desktop\Uni\FINAL\Ryan Anwar 228939 GP\stockvisor-frontend\src\pages\News.jsx", "JavaScript JSX", 0, 0, 0, 0, 242, 0, 0, 1, 27, 270
"c:\Users\ranwa\Desktop\Uni\FINAL\Ryan Anwar 228939 GP\stockvisor-frontend\src\pages\Portfolio.jsx", "JavaScript JSX", 0, 0, 0, 0, 816, 0, 0, 14, 61, 891
"c:\Users\ranwa\Desktop\Uni\FINAL\Ryan Anwar 228939 GP\stockvisor-frontend\src\pages\Register.jsx", "JavaScript JSX", 0, 0, 0, 0, 209, 0, 0, 10, 21, 240
"c:\Users\ranwa\Desktop\Uni\FINAL\Ryan Anwar 228939 GP\stockvisor-frontend\src\pages\Tips.jsx", "JavaScript JSX", 0, 0, 0, 0, 376, 0, 0, 1, 8, 385
"c:\Users\ranwa\Desktop\Uni\FINAL\Ryan Anwar 228939 GP\stockvisor-frontend\src\services\api.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 4, 5, 33
"c:\Users\ranwa\Desktop\Uni\FINAL\Ryan Anwar 228939 GP\stockvisor-frontend\vite.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 1, 2, 9
"Total", "-", 4976, 13, 58, 2, 5991, 1, 411, 117, 675, 12244
